gene,log2FC,pvalue,neglog10p
AL627309.1,0.05987379107497024,2.166258362306565e-31,10.0
AL627309.3,0.003292934766294572,0.0015970961316234674,2.796668915042522
AL627309.2,0.004812884028198436,0.00040732442956782893,3.3900594353960174
AL627309.5,0.28032368528259866,5.9398794179323454e-167,10.0
AP006222.2,0.04053337781811016,2.4982945566733974e-26,10.0
AL732372.1,0.0019212805798851675,0.01925416355239175,1.7154753411824997
AC114498.1,0.0007598784194528875,0.0832645067642441,1.0795400857228505
AL669831.2,0.00025329280648429586,0.31737180895174844,0.49843165261899913
LINC01409,0.21301697007583714,1.3865638498374955e-94,10.0
FAM87B,0.0010131712259371835,0.04548657234186341,1.3421167874098325
LINC01128,0.1114614809679507,4.9085420330491526e-54,10.0
LINC00115,0.08476158809033105,1.098281937411185e-56,10.0
FAM41C,0.03236544717021579,1.6902497614900752e-21,9.99999999999266
AL645608.6,0.00601758353313534,0.0006283553863216421,3.2017945886378247
AL645608.2,-0.0007591087274605324,0.5125571150119403,0.2902577334022016
LINC02593,0.0008652985165182878,0.3523618339196045,0.4530111382064229
SAMD11,-0.0035872848049069454,0.04700951012355335,1.3278142735578908
NOC2L,0.2240811870624475,5.518237180986926e-116,10.0
KLHL17,0.013618612662641917,7.331146850159502e-06,5.13482215713322
PLEKHN1,0.08401011403310864,1.6345980488150468e-30,10.0
PERM1,0.007092455145557736,2.8954048400444485e-06,5.53827570477556
AL645608.7,0.00025335694748365885,0.5635565583937999,0.24906249166907551
HES4,0.0047944809862178455,0.00948781333577411,2.0228338636731547
ISG15,0.006580537066724462,0.0009016387370782654,3.044967389812969
AL645608.1,0.00025329280648429586,0.31737180895174844,0.49843165261899913
AGRN,0.1533153785223344,1.3999743399139449e-61,10.0
AL645608.8,0.0005065856129685917,0.15732549492643708,0.8032008930658618
RNF223,0.0007598784194528875,0.0832645067642441,1.0795400857228505
C1orf159,0.16778901218353592,1.1462178894458432e-74,10.0
AL390719.3,0.002681094858338692,0.0018022229093900847,2.744191469874714
LINC01342,0.004559783644712229,0.0019725499235418785,2.70497197434276
AL390719.2,0.06975703866310737,1.4873176035460935e-30,10.0
TTLL10-AS1,0.00025329280648429586,0.31737180895174844,0.49843165261899913
